"title","feedUrl","htmlUrl"
"academhack » Academhack","http://academhack.outsidethetext.com/home/category/blog/feed/","http://academhack.outsidethetext.com/home"
"beingwendyhsu.info","http://beingwendyhsu.info/?feed=rss2","http://beingwendyhsu.info/"
"The Signal: Digital Preservation","http://blogs.loc.gov/digitalpreservation/feed/","http://blogs.loc.gov/digitalpreservation"
"cac.ophony.org","http://cac.ophony.org/feed/","http://cac.ophony.org/"
"Chicago Colloquium on Digital Humanities & Computer Science","http://chicagocolloquium.org/feed/","https://lucian.uchicago.edu/blogs/dhcs"
"Roy Rosenzweig Center for History and New Media","http://chnm.gmu.edu/news/","http://chnm.gmu.edu/"
"cliotropic","http://cliotropic.org/blog/feed/","http://cliotropic.org/blog"
"Evan Cordulack","http://cordulack.net/feed/","http://www.cordulack.com/"
"Agile Learning | Agile Learning","http://derekbruff.org/?feed=rss2","http://derekbruff.org/"
"Detour Ahead","http://detourahead.umwblogs.org/feed/","http://detourahead.umwblogs.org/"
"Project Updates","http://devo-evo.lab.asu.edu/updates","http://devo-evo.lab.asu.edu/?q=project-updates"
"discontents","http://discontents.com.au/feed","http://discontents.com.au/"
"dmlcentral.net","http://dmlcentral.net/rss.xml","http://dmlcentral.net/rss.xml"
"Donica Belisle, Ph.D.","http://donicabelisle.com/rss","http://donicabelisle.com/"
"John Resig » Blog","http://ejohn.org/category/blog/feed/","http://ejohn.org/"
"physika","http://feeds.feedburner.com/johnmiedema","http://johnmiedema.com/"
"making edible playdough is hegemonic.","http://feeds.feedburner.com/MakingEdiblePlaydoughIsHegemonic","http://www.jennamcwilliams.com/"
"Open Culture","http://feeds.feedburner.com/OpenCulture","http://www.openculture.com/"
"Peter Organisciak","http://feeds.feedburner.com/organisciak","http://www.porganized.com/"
"Greta Franzini","http://gretafranzini.com/?feed=rss2","http://gretafranzini.com/"
"Hermeneuti.ca – The Rhetoric of Text Analysis blogs","http://hermeneuti.ca/blog/feed","http://hermeneuti.ca/blog"
"HyperStudio - Digital Humanities at MIT » Blog","http://hyperstudio.mit.edu/category/blog/feed/","http://hyperstudio.mit.edu/"
"I ♥ E-Poetry","http://iloveepoetry.com/?feed=rss2","http://iloveepoetry.com/"
"James Smithies","http://jamessmithies.org/feed/","http://jamessmithies.org/"
"jbaiter.de","http://jbaiter.de/feeds/ramblings.atom.xml","http://jbaiter.de/"
"Joe Murphy - Librarian, Innovator","http://joemurphylibraryfuture.com/feed/","http://joemurphylibraryfuture.com/"
